"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","US20, 4 Mi W of Albany, Delay &lt; 20min, A crash has occurred, use caution.... http://t.co/QwxowhfrUD",FALSE,0,NA,2014-10-29,FALSE,NA,"527582109502697472",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20A",0,FALSE,FALSE,NA,NA
"2","US20, Albany, Unconfirmed, An unconfirmed report of a disabled veh is creating a hazard has been received, use ca... http://t.co/yEpsBrbMGE",FALSE,0,NA,2014-10-29,FALSE,NA,"527345561679036416",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20A",0,FALSE,FALSE,NA,NA
"3","US20, 1 Mi E of Eddyville, Delay &lt; 20min, Hazardous debris, use caution.... http://t.co/8AQGFdl4Sj",FALSE,0,NA,2014-10-26,FALSE,NA,"526279534094462976",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20A",0,FALSE,FALSE,NA,NA
"4","US20, Eddyville, Delay 20min-2hrs, A landslide has occurred, use caution.... http://t.co/P7MjMawYWI",FALSE,0,NA,2014-10-26,FALSE,NA,"526260905047113728",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20A",0,FALSE,FALSE,NA,NA
"5","US20, 6 Mi E of Toledo, Delay 20min-2hrs, A landslide has occurred, use caution.... http://t.co/wYqhBk77yb",FALSE,0,NA,2014-10-26,FALSE,NA,"526260400845623296",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20A",0,FALSE,FALSE,NA,NA
"6","US20, 1 Mi E of Toledo, Delay &lt; 20min, Hazardous debris, use caution.... http://t.co/eR9TPGcUgp",FALSE,0,NA,2014-10-25,FALSE,NA,"526101856343183360",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20A",0,FALSE,FALSE,NA,NA
"7","ORE34, Corvallis, Delay &lt; 20min, A crash has occurred, use caution.... http://t.co/fFs2V5OsxQ",FALSE,0,NA,2014-10-17,FALSE,NA,"523237056697225216",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20A",0,FALSE,FALSE,NA,NA
"8","US20, 7 Mi E of Burnt Woods, Delay 20min-2hrs, A disabled veh is creating a hazard, use caution.... http://t.co/pOfFg3F040",FALSE,0,NA,2014-10-16,FALSE,NA,"522857058102566912",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20A",0,FALSE,FALSE,NA,NA
"9","US20, 5 Mi W of Eddyville, Unconfirmed, An unconfirmed report of falling rock has been received, use caution.... http://t.co/SPKlDoOsfI",FALSE,0,NA,2014-10-16,FALSE,NA,"522804204365025280",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20A",0,FALSE,FALSE,NA,NA
"10","US20, Eddyville, Delay &lt; 20min, A crash has occurred, use caution.... http://t.co/I7tEZqedXb",FALSE,0,NA,2014-10-15,FALSE,NA,"522437576632709121",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20A",0,FALSE,FALSE,NA,NA
"11","US20, Toledo, Unconfirmed, An unconfirmed report of hazardous debris has been received, use caution.... http://t.co/vpb3fCB0EU",FALSE,0,NA,2014-10-13,FALSE,NA,"521784820066578432",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20A",0,FALSE,FALSE,NA,NA
"12","US20, Toledo, Delay &lt; 20min, A crash has occurred, use caution.... http://t.co/vIaF654Ffo",FALSE,0,NA,2014-09-23,FALSE,NA,"514534484427825152",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20A",0,FALSE,FALSE,NA,NA
"13","US20, 1 Mi E of Newport, Unconfirmed, An unconfirmed report of an animal that has been struck creating a hazard h... http://t.co/QZ87zeEV0B",FALSE,0,NA,2014-09-20,FALSE,NA,"513160291656286208",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20A",0,FALSE,FALSE,NA,NA
"14","US20, Newport, Unconfirmed, An unconfirmed report of a crash has been received, use caution.... http://t.co/0UF3d2qBIe",FALSE,0,NA,2014-09-19,FALSE,NA,"513090350240391168",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20A",0,FALSE,FALSE,NA,NA
