"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","US20, 1 Mi E of Santiam Pass Summit, Delay &lt; 20min, A crash has occurred, use caution.... http://t.co/u1HmMxDooa",FALSE,0,NA,2015-09-28 19:15:39,FALSE,NA,"648576823651991552",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"2","US20, 5 Mi E of Shea View Point, Delay &lt; 20min, A crash has occurred, use caution.... http://t.co/1ogYZTVHSI",FALSE,0,NA,2015-09-25 20:43:35,FALSE,NA,"647511790666907648",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"3","US20, 7 Mi W of Tombstone SnoPark Area, Delay &lt; 20min, Traffic delays less than 5 minutes. Watch for construction... http://t.co/BOWaur52eD",FALSE,0,NA,2015-09-25 20:19:35,FALSE,NA,"647505750764351488",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"4","US20, from @ Suttle Lake Loop to 1 Mi E of @ Suttle Lake Loop, Delay &lt; 20min, Road maint ops are occurring, use c... http://t.co/aUlehnCT1V",FALSE,0,NA,2015-09-23 16:26:17,FALSE,NA,"646722260720488448",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"5","US20, from 2 Mi W of @ Suttle Lake Loop to 1 Mi W of @ Suttle Lake Loop, Delay &lt; 20min, Road maint ops are occurr... http://t.co/moWDwimTxn",FALSE,0,NA,2015-09-22 16:30:17,FALSE,NA,"646360879856902148",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",1,FALSE,FALSE,NA,NA
"6","US20, 7 Mi W of Tombstone SnoPark Area, Delay &lt; 20min, Sheep Creek Bridge steel piles and guardrail are expected ... http://t.co/BOWaur52eD",FALSE,0,NA,2015-09-18 22:32:18,FALSE,NA,"645002434775924737",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",2,FALSE,FALSE,NA,NA
"7","US20, 7 Mi W of Tombstone SnoPark Area, Delay &lt; 20min, Sheep Creek Bridge steel piles are expected to have been i... http://t.co/BOWaur52eD",FALSE,0,NA,2015-09-18 22:28:17,FALSE,NA,"645001423441170432",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"8","US20, 3 Mi W of Santiam Pass Summit, Delay &lt; 20min, A crash has occurred, use caution.... http://t.co/0ZtJm9Chbs",FALSE,0,NA,2015-09-17 23:48:19,FALSE,NA,"644659175281135616",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"9","US20, 1 Mi W of Santiam Pass Summit, Unconfirmed, An unconfirmed report of a disabled veh, creating a hazard, has... http://t.co/yFyodObhNv",FALSE,0,NA,2015-09-17 21:40:17,FALSE,NA,"644626957666140160",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"10","US20, from 2 Mi W of @ Suttle Lake Loop to 1 Mi W of @ Suttle Lake Loop, Delay &lt; 20min, Road maint ops are occurr... http://t.co/x86H3LWp8Y",FALSE,0,NA,2015-09-16 14:28:26,FALSE,NA,"644155889088245762",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
